OBJECTID,DATASET_EN,DATASET_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NSEARCH06_EN,NSEARCH06_TC,NSEARCH07_EN,NSEARCH07_TC,NSEARCH08_EN,NSEARCH08_TC,NSEARCH09_EN,NSEARCH09_TC,NSEARCH10_EN,NSEARCH10_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
1,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"15 Sheung Yuet Road, Kowloon 2.8.0/(26)",九龍 常悅道 15 號 2.8.0/(26),2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN8/2025/OP,KN8/2025/OP,07/03/2025,07/03/2025,Commercial,商業處所,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GR.pdf,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008OTTV.pdf,820347.8,839671.6,22.322139999999997,114.20991,2026-04-23T10:11:22,839671.5999999996,820347.8000000007
2,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"101 King's Road, Hong Kong. 1.5.1/(11)","101 King's Road, Hong Kong. 1.5.1/(11)",2025,2025,HONG KONG ISLAND,香港,HK53/2025/OP,HK53/2025/OP,31/10/2025,31/10/2025,Apartment/Commercial with residents' recreational facilities Commercial,,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053EN.pdf,Provisional Assessment Rating : Bronze (as at OP),暫定評估級別: 銅<br/>(截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053OTTV.pdf,816469.6,837884.5,22.287119999999998,114.19256,2026-04-23T10:10:57,837884.5,816469.5999999996
3,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"18 Ap Lei Chau Praya Road, Hong Kong 1.7.4/(9) , 1.7.4/(12) & 1.7.4/(13)","18 Ap Lei Chau Praya Road, Hong Kong 1.7.4/(9) , 1.7.4/(12) & 1.7.4/(13)",2025,2025,HONG KONG ISLAND,香港,HK49/2025/OP,HK49/2025/OP,14/10/2025,14/10/2025,Apartment with residents' recreational facilities,,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049EN.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049OTTV.pdf,811385.00814182,834384.15538807,22.24120256,114.15859996,2026-04-23T10:10:41,834384.1553999996,811385.0080999993
4,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"281 Gloucester Road, Hong Kong 1.4.6/(3)","281 Gloucester Road, Hong Kong 1.4.6/(3)",2025,2025,HONG KONG ISLAND,香港,HK37/2025/OP,HK37/2025/OP,18/08/2025,18/08/2025,Commercial,,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037EN.pdf,Provisional Assessment Rating: Platinum (as at OP),暫定評估級別: 鉑金<br/>(截至佔用許可證簽發日),Not applicable,不適用,Not applicable,不適用,815883.7000000001,837043.6,22.28183,114.18440000000001,2026-04-23T10:08:59,837043.5999999996,815883.6999999993
5,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"9 Eastern Street, Hong Kong 1.1.2/(20)","9 Eastern Street, Hong Kong 1.1.2/(20)",2025,2025,HONG KONG ISLAND,香港,HK34/2025/OP,HK34/2025/OP,09/06/2025,09/06/2025,Apartment/Commercial with residents' recreational facilities,,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034GFACe.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034OTTV.pdf,816511.9,832840,22.2875,114.14361,2026-04-23T10:08:31,832840,816511.9000000004
6,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"38 Spring Garden Lane, Hong Kong 1.3.1/(32)","38 Spring Garden Lane, Hong Kong 1.3.1/(32)",2025,2025,HONG KONG ISLAND,香港,HK31/2025/OP,HK31/2025/OP,09/05/2025,09/05/2025,Apartment/Commercial with residents' recreational facilities,,Composite,綜合用途,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031GFACe.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031OTTV.pdf,815125.2000000001,835824.4,22.27498,114.17257,2026-04-23T10:03:38,835824.4000000004,815125.1999999993
7,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"45 Island Road, Hong Kong 1.9.1/(6)",香港 香島道 45 號 1.9.1/(6),2025,2025,HONG KONG ISLAND,香港,HK6/2025/OP,HK6/2025/OP,28/01/2025,28/01/2025,Caretaker office with disabled toilet,管理員辦事處連殘疾人士洗手間,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025006GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025006GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,Not applicable,不適用,811332.20936469,837455.18386259,22.24072637,114.18839065,2026-04-23T10:03:08,837455.1838999996,811332.2094
8,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"135 Tai Hang Road, Hong Kong 1.4.9/(20)","135 Tai Hang Road, Hong Kong 1.4.9/(20)",2025,2025,HONG KONG ISLAND,香港,HK28/2025/OP,HK28/2025/OP,07/05/2025,07/05/2025,Apartment with residents' recreational facilities Plant room,,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028EN.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028OTTV.pdf,814747.25190043,837869.8310679,22.27156613,114.19241637,2026-04-23T10:02:17,837869.8311000001,814747.2519000005
9,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"33 Kennedy Road, Hong Kong 1.3.1/(60)",香港 堅尼地道 33 號 1.3.1/(60),2025,2025,HONG KONG ISLAND,香港,HK22/2025/OP,HK22/2025/OP,25/03/2025,25/03/2025,Apartment with residents' recreational facilities,寓所連住客康樂設施,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022GFACe.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022OTTV.pdf,814990.1,835777,22.27376,114.17211,2026-04-23T10:01:19,835777,814990.0999999996
10,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"32 Plantation Road, Hong Kong 1.8.2/(10)",香港種植道 32 號1.8.2/(10),2022,2022,HONG KONG ISLAND,香港,HK48/2022/OP,HK48/2022/OP,05/10/2022,05/10/2022,Vertical lifting platform and plant rooms,垂直升降台及機房,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048EN.pdf,Not applicable,不適用,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048OTTV.pdf,814296.64806281,833931.83523348,22.26749606,114.15420797,2026-04-23T10:00:41,833931.8351999996,814296.6480999999
11,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"1 Lohas Park Road, Tseung Kwan O, New Territories 8.3.9/(10)","1 Lohas Park Road, Tseung Kwan O, New Territories 8.3.9/(10)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,PR7/2025/OP,PR7/2025/OP,08/10/2025,08/10/2025,Apartment with residents' recreational facilities and covered walkway (phase XIIA),,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007EN.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/PR2025007OTTV.pdf,817296.60969265,845822.85026199,22.29456268,114.269597,2026-04-23T09:54:57,845822.8503,817296.6096999999
12,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"3 On Kui Street, New Territories 6.2.5/(59)",新界 安居街 3 號 6.2.5/(59),2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,NT3/2025/OP,NT3/2025/OP,23/01/2025,23/01/2025,Data centre,數據中心,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003GR.pdf,Not applicable,不適用,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/NT2025003OTTV.pdf,839591.5,832811.2000000001,22.495919999999998,114.14328,2026-04-23T09:53:57,832811.2000000002,839591.5
13,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"37 Cameron Road, Kowloon 2.1.2/(17)","37 Cameron Road, Kowloon 2.1.2/(17)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN32/2025/OP,KN32/2025/OP,24/06/2025,24/06/2025,Commercial,,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025032OTTV.pdf,817855.14347526,836079.94616038,22.29963309,114.17504936,2026-04-23T09:53:02,836079.9462000001,817855.1435000002
14,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"550 Castle Peak Road, Kowloon 2.6.1/(14)","550 Castle Peak Road, Kowloon 2.6.1/(14)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN30/2025/OP,KN30/2025/OP,24/06/2025,24/06/2025,Industrial,,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025030EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),Not applicable,不適用,Not applicable,不適用,822261.1,833537.7000000001,22.33942,114.15037,2026-04-23T09:52:02,833537.7000000002,822261.0999999996
15,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"57A Nga Tsin Wai Road, Kowloon 2.7.1/(46)","57A Nga Tsin Wai Road, Kowloon 2.7.1/(46)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN28/2025/OP,KN28/2025/OP,18/06/2025,18/06/2025,Apartment with residents' recreational facilities,,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028GFACe.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028EN.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025028OTTV.pdf,821093.28025759,837105.05792522,22.32887522,114.18499936,2026-04-23T09:49:34,837105.0579000004,821093.2803000007
16,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"33 Hung To Road, Kowloon 2.9.5/(16)","33 Hung To Road, Kowloon 2.9.5/(16)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN23/2025/OP,KN23/2025/OP,08/05/2025,08/05/2025,Industrial,,Non-domestic,非住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025023OTTV.pdf,819288.3,840772.2000000001,22.312569999999997,114.22059,2026-04-23T09:48:39,840772.2000000002,819288.3000000007
17,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"36A Braga Circuit, Kowloon 2.3.2/(7)","36A Braga Circuit, Kowloon 2.3.2/(7)",2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN21/2025/OP,KN21/2025/OP,25/04/2025,25/04/2025,Single family house,,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021GFACe.pdf,Not applicable,不適用,Not applicable,不適用,Provisional Assessment Rating: Unclassified (as at OP),暫定評估級別: 不予評級<br/>(截至佔用許可證簽發日),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025021OTTV.pdf,820578.49877173,836216.88277874,22.32422664,114.1763782,2026-04-23T09:47:52,836216.8827999998,820578.4988000002
18,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,私人發展項目總樓面面積寬免概況及相關資料,"2 Shing King Street, Kowloon 2.8.6/(11)",九龍 承景街 2 號 2.8.6/(11),2025,2025,KOWLOON & NEW TERRITORIES,九龍及新界,KN13/2025/OP,KN13/2025/OP,31/03/2025,31/03/2025,Apartment with residents' recreational facilities,寓所連住客康樂設施,Domestic,住宅,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013EN.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013EN.pdf,Not applicable,不適用,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013OTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025013OTTV.pdf,819161.8,839624.4,22.311429999999998,114.20945,2026-04-23T09:46:51,839624.4000000004,819161.8000000007
